rollback_dt,jdb_id,service_fee,逾期天数,逾期金额,逾期债务数,最小利率,最大利率,首笔借款当前是否逾期,是否首次逾期,历史借款次数含展期,历史借款次数不含展期,历史非逾期还款次数,历史逾期还款次数,前14天外呼数,前14天接通数,前14天接通时长
1,620941746966478842,99.99,142,6007.76,1,12,12,,,18,18,59,41,0,0,0
1,497715486545421358,52.49,604,10799.87,1,24,24,,,125,85,94,45,6,0,0
1,497704168576951499,0.95,582,39180.31,20,0,1,,,1002,512,727,365,6,4,41
1,497160439927428972,116.31,961,15479.88,6,8,24,,,144,119,65,12,6,2,4
1,496923843571550217,250.51,196,7331.74,2,15,15,,,237,160,236,35,6,1,11
1,496772733137340850,75.75,124,1514.12,1,0,0,,,317,265,225,50,6,1,4
1,496404624798918654,0.7,538,184811.95,66,1.8,24,,是,5104,5104,5372,49,6,0,0
1,617064831088176434,26.94,104,7453.54,5,0,0,是,是,29,29,10,2,7,0,0
1,496296530836200843,5.66,1231,5957.93,3,24,24,,,62,59,82,188,6,2,34
1,496277274409115210,3.35,282,522.11,2,0,0,是,是,4,4,3,0,6,0,0
1,496023013324960191,49.99,769,11866.93,5,20,24,,是,82,75,75,41,6,1,4
1,495701233523234336,162.01,108,3238.39,1,24,24,,,120,53,35,20,6,0,0
1,490959473746128983,0.51,108,18761.02,2,0,0,,是,210,161,183,12,6,2,22
1,484988373409214464,117.81,273,2355.01,1,0,0,,,100,97,87,11,6,6,54
1,1263702403593535489,150.31,118,8635.04,3,0,0,,是,47,42,53,3,6,5,96
1,1263702403593535489,90.1,109,3513.61,2,0,0,,是,41,39,48,2,6,5,60
1,612333457032552900,0.58,1233,9180.7,13,20,24,是,是,24,13,0,0,0,0,0
1,612326045489562122,39.99,67,62848.93,7,0,15.4,,,579,181,260,23,0,0,0
1,1263702403593535489,59.99,108,1711.3,1,0,0,,是,39,38,46,1,6,5,60
1,1212387659721158659,48.81,221,975.73,1,0,0,是,是,1,1,0,1,6,0,0
1,609502279747234112,559.84,1844,3917.48,9,24,24,,是,10,10,3,0,0,0,0
1,608969064708052518,1110.81,1807,47053.3,9,0,0,,是,11,11,2,2,0,0,0
1,608969064708052518,125.91,1790,25524.07,4,0,0,,是,11,11,2,1,0,0,0
1,608969064708052518,1250.13,1788,34244.82,4,0,0,,是,11,11,2,0,0,0,0
1,1199698049006252038,150.35,137,54115.03,7,0,8,,是,31,31,37,0,6,0,0
1,1199355432179544072,149.99,60,67115.94,4,0,0,,,130,127,117,9,6,0,0
1,1199355432179544072,8801.87,59,289558.7,10,0,0,,,130,127,116,2,6,0,0
1,1199355432179544072,2328.58,59,113640.83,6,0,0,,,130,127,117,7,6,0,0
1,1194270090107764745,24.99,96,37512.44,4,12,12,,是,41,41,44,80,6,1,6
1,602136992081628154,99.99,215,2279.03,1,0,0,是,是,1,1,0,0,7,0,0
1,1194270090107764745,24.99,95,37989.5,4,12,12,,是,41,41,44,79,6,1,6
1,600276011312718184,1.72,319,2379.87,1,1,1,,,893,509,725,70,7,4,20
1,599053415015486521,298.93,1487,72127.74,18,24,24,,是,120,73,51,1,0,0,0
1,1194270090107764745,49.98,89,38851.22,4,12,12,,是,41,41,44,77,6,0,0
1,597717819089187827,54.36,1651,277856.34,55,0,0,,是,97,97,45,70,0,0,0
1,597717819089187827,20.33,1650,278137.62,55,0,0,,是,97,97,45,67,0,0,0
1,597717819089187827,131.53,1649,269143.33,53,0,0,,是,97,97,45,59,0,0,0
1,597558010490636985,103.32,1645,114424.69,54,0,0,,是,76,76,16,8,0,0,0
1,597558010490636985,8.47,1644,114458.9,54,0,0,,是,76,76,16,6,0,0,0
1,597558010490636985,237.7,1643,119142.05,55,0,0,,是,76,76,16,2,0,0,0
1,597558010490636985,23.62,1636,102137.63,47,0,0,,是,76,76,16,1,0,0,0
1,1194270090107764745,44.98,87,39703.58,4,12,12,,是,41,41,44,75,6,0,0
1,1194270090107764745,49.98,86,40678.91,4,12,12,,是,41,41,44,73,6,0,0
1,1194238976731328514,1041.48,91,20820.16,2,0,15,,是,30,28,30,0,6,0,0
1,1181203956102021122,56.5,219,7081.31,3,0,24,,,31,30,47,1,6,3,21
1,1176617765016911880,45.59,188,911.42,1,0,0,是,,1,1,2,1,6,3,36
1,1173941729506570247,899.86,150,81869.53,41,0,24,,,243,233,292,75,6,0,0
1,1173941729506570247,257.14,145,84090.35,40,0,24,,,240,230,292,74,6,0,0
1,1173941729506570247,197.39,144,87991.08,42,0,24,,,240,230,292,64,6,1,8
1,1173941729506570247,263.43,142,93162.7,45,0,24,,,239,229,291,56,6,1,8
1,1149006063974957056,157.93,97,13836.86,4,0,24,,是,109,64,86,7,6,0,0
1,597447132126641079,18.67,248,49837.42,25,0,24,,是,50,50,8,23,7,0,0
1,1149006063974957056,263.72,92,19069.51,6,0,24,,是,109,64,86,5,6,0,0
1,593957538991178686,4.76,60,5125.89,1,10,10,,,2,2,0,1,0,0,0
1,593569728887001068,71.42,1363,72163.85,7,24,24,,是,1569,788,905,168,7,0,0
1,1149006063974957056,208.21,91,23221.39,7,0,24,,是,109,64,86,4,6,0,0
1,1120078792870539265,136.24,286,92957.3,6,2,24,是,,62,24,45,12,6,0,0
1,1115972078814572553,530.96,250,10613.4,2,0,24,,,11,4,2,2,6,1,6
1,590947204495854868,119.64,1085,1708.54,2,24,24,,,10,6,2,2,0,0,0
1,1098970333584515074,300.3,110,21337.86,2,1,5,,,126,74,111,11,6,0,0
1,1076500258856333321,100.04,172,3300.73,3,15,15,,,186,22,21,15,6,0,0
1,588168450365448435,0.65,1120,69732.17,4,0,24,,,55,44,42,2,7,0,0
1,586950915867910798,166.64,293,55879.85,11,0,0,,,180,172,171,37,7,1,4
1,1051537435151785990,204.81,64,4094.65,1,0,0,,是,100,35,36,5,6,4,64
1,1034965891143401479,249.99,305,84457.95,7,0,0,,是,106,98,171,1,6,6,102
1,1032051491638034438,9.99,71,123834.7,4,0,11,,,411,342,422,92,6,1,21
1,586924435347717520,19.98,540,142997.36,22,0,24,,是,713,378,454,145,7,0,0
1,586924435347717520,9.98,538,142935.97,22,0,24,,是,713,378,454,143,7,0,0
1,586924435347717520,46.95,533,143438.79,23,0,24,,是,713,378,454,142,7,0,0
1,586924435347717520,54.96,532,144450.7,23,0,24,,是,713,378,454,137,7,0,0
1,584714995384454330,0.13,1367,3771.34,4,24,24,,,13,13,2,8,7,3,35
1,583799740603260121,156.65,1925,1096.13,3,0,0,是,是,3,3,0,0,7,0,0
1,1032051491638034438,99.98,66,107556.18,3,0,5,,,408,339,419,90,6,1,21
1,582728054793527206,9.99,46,3034.13,2,0,0,,,281,232,371,27,0,0,0
1,581780155462814961,24.99,74,36037.14,7,0,15,,,16,15,15,1,0,0,0
1,580830821896423518,0.42,1042,16924.82,2,24,24,,,56,36,36,0,0,0,0
1,1032051491638034438,495.24,64,108366.69,4,0,13,,,407,338,419,88,6,1,21
1,579316277986424514,51.19,58,1023.53,1,0.1,0.1,,,12,12,8,1,0,0,0
1,1030426372188622853,46.11,57,24239.41,6,0,0,,,49,41,118,7,6,1,20
1,1008052972107542535,103.01,610,8283.75,5,2,24,,,157,131,133,12,6,0,0
1,1006973165265453058,4.99,223,57431.55,5,0,1,,是,255,249,293,4,6,3,13
1,984583838157979648,50.43,494,15078.27,7,12,24,,,158,13,95,15,5,0,0
1,984023718365704201,215.6,797,4310.35,1,10,10,是,是,1,1,0,0,5,1,21
1,575361680114934396,54.99,171,7670.1,3,0,15,,,77,20,49,12,7,4,24
1,982570401848582146,23.81,414,82006.23,5,18,24,,,82,40,33,39,5,1,7
1,967395143986393093,24.99,72,7248.18,2,0,0,,,40,27,20,12,5,0,0
1,930500403408109573,0.42,974,37804.43,11,0,24,,是,22,21,14,5,5,0,0
1,917408269373231104,368.94,437,7375.57,3,24,24,,,125,9,15,1,5,0,0
1,912120858896445442,24.99,356,1902.66,2,24,24,,是,139,17,24,0,5,0,0
1,573852655099547296,84.79,1065,1695.34,2,23,23,,,10,8,2,4,7,2,28
1,572781629108755504,60.11,217,1201.55,1,24,24,,,8,8,9,5,7,0,0
1,906937410091175940,84.8,1065,1695.54,1,24,24,是,是,2,2,0,1,5,4,74
1,904725970299072513,84.9,1075,1697.45,2,0,0,是,是,2,2,0,0,5,3,48
1,900791512818728967,23.8,362,1361.15,1,24,24,,是,51,34,34,8,5,2,6
1,895778010525810693,120.09,1095,1715.04,1,24,24,是,是,1,1,0,0,5,1,21
1,867395987876835337,13.08,1127,371.76,1,24,24,,是,2,2,0,3,5,0,0
1,866720447054438409,3.27,1115,5848.04,2,24,24,,,15,9,7,2,5,5,91
1,866720447054438409,3.27,1113,5890.35,2,24,24,,,15,9,7,1,5,4,84
1,853598742681436164,35.54,1207,507.53,1,24,24,,,12,6,0,8,5,4,24
1,556072139856655845,7.14,1000,22265.85,3,0,0,,,95,55,37,32,0,0,0
1,851172430939373572,0.9,1052,64740.74,23,0,24,,,92,90,56,14,5,1,4
1,845308548928733191,34.99,722,18916.01,6,0,0,,,29,15,4,6,5,0,0
1,552596165594156328,1.21,1162,1876.33,2,24,24,是,是,2,2,0,8,7,5,83
1,839138714033549312,10.41,445,20798.27,22,0,24,,,42,42,24,2,5,0,0
1,818782371242258437,179.98,1087,2570.19,2,24,24,,是,6,6,4,0,5,4,75
1,814320561583771656,9.52,642,3702.76,1,0,0,,,29,19,16,59,5,0,0
1,552136489349907576,0.14,304,99970.37,11,0,1,,是,423,423,412,173,7,0,0
1,661524483773391200,4639.09,268,851699.51,9,0,0,,是,360,273,270,5,5,0,0
1,653184057865462250,7.01,1060,95142.88,6,0,0,,,525,305,233,268,5,4,22
1,653184057865462250,9.54,1044,94764.02,6,0,0,,,525,305,233,266,5,3,17
1,550417311830339855,79.86,914,4838.55,3,24,24,,是,4,4,1,0,0,0,0
1,549866585651645953,19.62,659,2822.11,2,0,0,,,44,44,128,84,7,1,42
1,648852573658602534,0.11,654,39526.52,15,0,24,,是,68,66,38,65,5,0,0
1,631265294180269266,378.65,1218,5407.34,1,9,9,,,100,64,81,3,5,2,33
1,629998952457954436,65.3,1378,932.57,1,20,20,是,是,1,1,1,0,5,3,21
1,547770965593671523,150.12,182,211755.98,9,0,15.4,,,60,47,45,3,7,1,12
1,629996297685820558,174.53,342,1220.94,1,0,0,,是,2,2,1,0,5,1,4
1,629651228059876949,559.99,1331,53023.02,5,18,24,,是,176,165,152,29,5,2,42
1,623613151025304841,14.84,509,4480.41,3,24,24,,是,20,20,17,5,5,0,0
1,621381153720747234,47.61,1073,13254.67,1,0,0,,,270,93,102,31,5,4,84
1,547388392711367132,0.14,799,68264.42,3,0,24,,,2417,2413,2620,251,0,0,0
1,617064831088176434,120.37,121,31162.4,13,0,0,,是,29,29,10,5,5,0,0
1,616054385190892498,74.99,618,2906.31,1,24,24,,,28,9,10,3,5,0,0
1,614146764985176736,162.15,338,14951.57,7,0,0,,是,11,11,1,6,5,0,0
1,614146764985176736,48.17,337,15278.73,7,0,0,,是,11,11,1,4,5,0,0
1,614146764985176736,10.91,336,11845.03,6,0,0,,是,11,11,1,3,5,0,0
1,611716351062810580,9.52,833,3335.47,5,0,24,,,33,29,11,48,5,0,0
1,547040624151090035,504.21,46,91388.28,6,0,15.4,,,215,171,185,3,0,0,0
1,546676221580934855,999.98,140,497743.96,3,15,24,,,433,224,285,71,7,7,115
1,546091130647471389,1.24,1284,4034.22,5,0,24,,是,15,12,7,0,0,0,0
1,545653757891544294,193.58,1576,83363.22,7,0,24,,是,27,26,24,3,7,1,21
1,597500271945030998,730.95,203,237371.25,36,0,0.5,,是,140,140,99,46,5,0,0
1,545172234960615635,0.03,934,33296.85,9,24,24,,,122,82,75,1,7,0,0
1,543538579121097918,238.09,260,15533.42,1,12,12,,是,64,64,72,3,7,6,41
1,597500271945030998,198.86,202,239949.58,38,0,0.5,,是,140,140,99,40,5,0,0
